matricula;curso;totalcadeira;reprovadonota;reprovadofalta;trancado;perido;media;codevasao
299160737;14102100;6.0;0.0;0.0;0.0;2008.2;8.3;0
302160320;14102100;2.0;0.0;0.0;0.0;2009.2;7.6;0
301860491;14102100;6.0;0.0;0.0;0.0;2009.1;9.200000000000001;0
298860188;14102100;3.0;0.0;0.0;0.0;2008.1;7.666666666666667;0
292860533;14102100;6.0;0.0;0.0;0.0;2006.1;9.15;0
292860536;14102100;6.0;0.0;0.0;0.0;2006.1;7.25;0
307980980;14102100;5.0;0.8;0.0;0.0;2011.1;3.96;0
298860185;14102100;4.0;0.0;0.0;0.0;2008.1;8.1;0
292860539;14102100;6.0;0.16666666666666666;0.0;0.0;2006.1;7.1499999999999995;0
298860182;14102100;6.0;0.0;0.16666666666666666;0.0;2008.1;5.8500000000000005;0
298861937;14102100;6.0;0.0;0.0;0.0;2008.1;8.016666666666667;0
302160983;14102100;6.0;0.0;0.0;0.0;2009.2;7.433333333333334;0
299160743;14102100;6.0;0.0;0.0;0.0;2008.2;7.216666666666668;0
302160980;14102100;6.0;0.16666666666666666;0.0;0.0;2009.2;6.933333333333333;0
301862555;14102100;6.0;0.16666666666666666;0.8333333333333334;0.0;2009.1;0.4166666666666667;1
299160725;14102100;5.0;0.0;0.0;0.0;2008.2;9.2;0
295861955;14102100;6.0;0.16666666666666666;0.0;0.0;2007.1;5.883333333333334;0
292860521;14102100;6.0;0.3333333333333333;0.0;0.0;2006.1;6.466666666666666;0
307980992;14102100;5.0;0.4;0.0;0.0;2011.1;4.68;0
292860527;14102100;5.0;0.0;0.0;0.0;2006.1;7.140000000000001;0
296160791;14102100;3.0;0.0;1.0;0.0;2007.2;0.0;1
296160128;14102100;2.0;0.0;0.0;0.0;2007.2;7.1;0
292860524;14102100;4.0;0.0;0.0;0.0;2006.1;7.699999999999999;0
298860197;14102100;6.0;0.0;0.0;0.0;2008.1;8.683333333333332;0
305160260;14102100;6.0;0.16666666666666666;0.0;0.0;2010.2;6.383333333333333;0
298860194;14102100;6.0;0.0;0.0;0.0;2008.1;8.75;0
304860404;14102100;6.0;0.0;0.0;0.0;2010.1;7.5;0
296160797;14102100;6.0;0.16666666666666666;0.0;0.0;2007.2;5.466666666666666;0
299160731;14102100;6.0;0.0;0.0;0.0;2008.2;8.75;0
302160998;14102100;6.0;0.6666666666666666;0.0;0.0;2009.2;4.016666666666667;0
293160608;14102100;2.0;0.0;0.0;0.0;2006.2;7.35;0
299160758;14102100;6.0;0.16666666666666666;0.0;0.0;2008.2;6.8;0
292860554;14102100;4.0;0.0;1.0;0.0;2006.1;0.0;0
298860167;14102100;6.0;0.16666666666666666;0.16666666666666666;0.0;2008.1;5.900000000000001;0
304860509;14102100;6.0;0.16666666666666666;0.0;0.0;2010.1;7.1000000000000005;1
305161262;14102100;6.0;0.0;0.8333333333333334;0.0;2010.2;1.1666666666666667;0
295860188;14102100;6.0;0.0;0.0;0.0;2007.1;9.166666666666666;0
292860557;14102100;6.0;0.0;0.0;0.0;2006.1;9.35;0
298860164;14102100;6.0;0.0;0.0;0.0;2008.1;8.049999999999999;0
296160137;14102100;6.0;0.3333333333333333;0.0;0.0;2007.2;6.3999999999999995;0
302161427;14102100;4.0;0.75;0.0;0.0;2009.2;3.6249999999999996;1
304980155;14102100;6.0;0.6666666666666666;0.0;0.0;2010.1;3.1999999999999997;0
295861433;14102100;6.0;0.16666666666666666;0.0;0.0;2007.1;7.916666666666667;0
305160377;14102100;1.0;0.0;0.0;1.0;2010.2;0.0;1
298860179;14102100;6.0;0.0;0.0;0.0;2008.1;9.0;0
299160215;14102100;6.0;0.0;0.0;0.0;2008.2;7.116666666666667;0
304860518;14102100;4.0;0.0;0.5;0.0;2010.1;3.95;0
302160212;14102100;6.0;0.0;0.0;0.0;2009.2;6.483333333333333;0
298860170;14102100;5.0;0.0;0.0;0.0;2008.1;7.4799999999999995;0
307981784;14102100;5.0;0.2;0.6;0.0;2011.1;1.7;1
307980971;14102100;5.0;0.0;0.0;0.0;2011.1;5.9;0
296160149;14102100;2.0;0.0;0.0;0.0;2007.2;8.6;0
292860548;14102100;6.0;0.0;0.0;0.0;2006.1;7.55;0
299160209;14102100;6.0;0.0;0.0;0.0;2008.2;7.566666666666667;0
298860173;14102100;6.0;0.0;0.0;0.0;2008.1;7.933333333333334;0
304860422;14102100;5.0;0.2;0.0;0.0;2010.1;5.739999999999999;1
296160146;14102100;4.0;0.0;0.0;0.0;2007.2;8.825;0
305160383;14102100;6.0;0.6666666666666666;0.3333333333333333;0.0;2010.2;0.9833333333333334;1
293160572;14102100;6.0;0.0;0.0;0.0;2006.2;7.583333333333333;0
298860146;14102100;6.0;0.0;0.0;0.0;2008.1;8.65;0
304860326;14102100;6.0;0.0;0.0;0.0;2010.1;6.349999999999999;0
307860473;14102100;5.0;0.4;0.0;0.0;2011.1;4.1;0
293160578;14102100;6.0;0.3333333333333333;0.0;0.0;2006.2;6.283333333333332;0
305160413;14102100;6.0;0.3333333333333333;0.0;0.0;2010.2;5.083333333333333;0
305160410;14102100;6.0;0.16666666666666666;0.0;0.0;2010.2;5.383333333333334;0
307981406;14102100;4.0;0.75;0.0;0.0;2011.1;3.625;0
301860317;14102100;6.0;0.5;0.3333333333333333;0.0;2009.1;2.8000000000000003;1
