matricula;curso;totalcadeira;reprovadonota;reprovadofalta;trancado;perido;media;codevasao
308163110 ;11124100 ;6.0 ;0.16666666666666666 ;0.3333333333333333 ;0.0 ;2011.2 ;3.15 ;2011.2
308161127 ;11124100 ;7.0 ;0.2857142857142857 ;0.0 ;0.0 ;2011.2 ;6.385714285714286 ;2011.2
308162837 ;11124100 ;6.0 ;0.0 ;0.0 ;0.0 ;2011.2 ;6.566666666666667 ;2011.2
308162003 ;11124100 ;5.0 ;0.0 ;0.0 ;0.0 ;2011.2 ;7.459999999999999 ;2011.2
308280242 ;11124100 ;7.0 ;0.14285714285714285 ;0.5714285714285714 ;0.0 ;2011.2 ;2.357142857142857 ;2011.2
308280248 ;11124100 ;5.0 ;0.2 ;0.8 ;0.0 ;2011.2 ;0.2 ;2011.2
308162333 ;11124100 ;7.0 ;0.14285714285714285 ;0.8571428571428571 ;0.0 ;2011.2 ;0.14285714285714285 ;2011.2
308161130 ;11124100 ;7.0 ;0.0 ;0.0 ;0.0 ;2011.2 ;6.871428571428572 ;2011.2
308161991 ;11124100 ;5.0 ;0.4 ;0.0 ;0.0 ;2011.2 ;5.48 ;2011.2
308162621 ;11124100 ;6.0 ;0.0 ;0.0 ;0.0 ;2011.2 ;8.066666666666668 ;2011.2
308162012 ;11124100 ;6.0 ;0.0 ;0.0 ;0.0 ;2011.2 ;8.450000000000001 ;2011.2
308162435 ;11124100 ;7.0 ;0.0 ;0.2857142857142857 ;0.0 ;2011.2 ;4.942857142857143 ;2011.2
